id xcentroid ycentroid sharpness roundness1 roundness2 npix sky peak flux mag RA DEC
19 96.521974 52.603421 0.50938556 -0.35126141 0.37308679 121 0 6280 1.3601592 -0.33397437 48.428515 57.277803
21 1179.5648 54.505745 0.72559485 -0.035597731 0.041522758 121 0 7726 6.9136256 -2.0992646 49.082643 57.230806
22 947.19901 55.733893 0.52805069 -0.11144461 0.11198659 121 0 14367 42.67079 -4.0753267 48.942624 57.241674
23 1258.8588 59.747608 0.32940661 0.26494524 0.39620931 121 0 6187 1.1004912 -0.10396641 49.130875 57.228913
24 206.03434 60.160586 0.39715886 0.11712639 0.42594577 121 0 6537 2.3472657 -0.92640565 48.495336 57.27559
25 183.14698 61.581324 0.24275072 -0.21671563 0.25649218 121 0 6294 1.7408597 -0.60190942 48.481607 57.277034
26 1585.8776 59.438105 0.6461839 -0.17305113 0.025131571 121 0 6539 2.5546531 -1.0183298 49.327822 57.213784
27 273.92622 63.417057 0.47133436 -0.019054543 0.28001805 121 0 7357 5.5548177 -1.8616745 48.536641 57.273737
28 1993.2633 64.147311 0.91603588 -0.051883907 0.11977844 121 0 6287 1.2044743 -0.20199384 49.573313 57.196221
29 2206.792 66.466833 0.67508112 -0.046603071 0.20312188 121 0 6281 1.4940963 -0.43594645 49.701845 57.186801
30 1644.7048 68.194725 0.59602873 -0.048508248 -0.21601584 121 0 6312 1.739169 -0.60085447 49.363985 57.213908
31 1250.1889 74.723458 0.56271158 0.11419505 -0.20315999 121 0 6278 1.255823 -0.24732105 49.126906 57.234193
32 559.05661 75.835477 0.70508088 -0.24372106 -0.16458874 121 0 6253 1.0438292 -0.046573644 48.709945 57.265413
33 1146.7166 77.088797 0.20089575 -0.021527778 0.018998132 121 0 6086 1.1719991 -0.17231824 49.064724 57.239661
34 1436.3369 77.052826 0.93664096 -0.0045187094 0.024080114 121 0 15473 31.803255 -3.7561789 49.23927 57.226435
35 1242.0368 87.044362 0.84786753 -0.055088395 0.08551181 121 0 21772 57.266837 -4.394758 49.123025 57.238583
36 674.40554 90.422838 0.73774928 -0.25297761 0.36951759 121 0 6375 1.4052615 -0.36939284 48.780796 57.265107
37 887.0344 89.417983 0.54813266 0.13627643 0.23042278 121 0 6347 1.8434383 -0.6640715 48.909089 57.255352
39 1564.5503 92.651808 0.80572873 -0.43613939 -0.012887249 121 0 6714 2.7776036 -1.1091757 49.317823 57.225605
40 502.86748 94.033446 0.2899913 0.11890101 0.18561097 121 0 6115 1.0383384 -0.040847269 48.677455 57.273807
41 2302.2128 93.623428 0.86086006 -0.0056466313 -0.0010842321 121 0 8080 7.5424987 -2.1937881 49.761587 57.191069
42 546.46116 96.808227 0.40865877 -0.27271117 0.12968366 121 0 6185 1.125027 -0.12790733 48.704019 57.272808
